rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
19.55,2066,0,105,34.02771111,6685,0.05,1865,0.0001,1.4220050573349
19.51,2082,0,106,34.44573328,6752,0.05,1881,0.0001,1.229876160621643
19.42,2103,0,107,34.59572717,6837,0.05,1902,0.0001,1.6001715660095215
19.38,2127,0,108,34.23873565,6936,0.05,1926,0.0001,1.3226810693740845
19.35,2143,0,109,33.997246010000005,7003,0.05,1942,0.0001,2.0283453464508057
19.41,2170,0,110,34.225245830000006,7114,0.05,1969,0.0001,2.176750898361206
19.41,2187,0,111,34.49202572000001,7183,0.05,1986,0.0001,2.318037986755371
19.53,2215,0,112,34.77919525,7299,0.05,2014,0.0001,2.126613140106201
19.52,2233,0,113,35.11067122,7373,0.05,2032,0.0001,3.1077308654785156
19.61,2260,0,114,35.22420872000001,7484,0.05,2059,0.0001,2.6021454334259033
19.6,2276,0,115,34.872051070000005,7551,0.05,2075,0.0001,3.593867778778076
19.65,2298,0,116,35.31103472000001,7646,0.05,2097,0.0001,1.985140085220337
19.71,2324,0,117,34.85830424,7749,0.05,2123,0.0001,3.3478212356567383
19.81,2351,0,118,35.030250370000005,7861,0.05,2150,0.0001,2.945753812789917
19.83,2371,0,119,35.37063239,7940,0.05,2170,0.0001,1.7936798334121704
19.82,2399,0,120,35.02521451,8055,0.05,2198,0.0001,1.4467616081237793
19.77,2419,0,121,35.39861046,8138,0.05,2218,0.0001,1.8720921277999878
19.78,2448,0,122,35.10237719,8257,0.05,2247,0.0001,1.7394942045211792
19.78,2464,0,123,34.66601445,8323,0.05,2263,0.0001,1.6090582609176636
19.83,2486,0,124,34.607647189999994,8414,0.05,2285,0.0001,1.6315367221832275
19.76,2498,0,125,34.608882089999994,8465,0.05,2297,0.0001,3.8073089122772217
19.75,2514,0,126,34.56467157,8533,0.05,2313,0.0001,3.2485663890838623
19.63,2530,0,127,34.948320679999995,8600,0.05,2329,0.0001,3.70719051361084
19.65,2548,0,128,34.04523337,8677,0.05,2347,0.0001,1.2753872871398926
19.66,2565,0,129,34.43278648,8746,0.05,2364,0.0001,0.9005990028381348
19.65,2580,0,130,33.942355570000004,8810,0.05,2379,0.0001,1.2185492515563965
19.66,2596,0,131,33.9485805,8875,0.05,2395,0.0001,1.8303126096725464
19.68,2624,0,132,33.688406480000005,8986,0.05,2423,0.0001,1.384213924407959
19.74,2652,0,133,33.419442020000005,9095,0.05,2451,0.0001,1.4011861085891724
19.85,2680,0,134,33.76057706,9210,0.05,2479,0.0001,2.7030081748962402
19.85,2696,0,135,34.08407202,9276,0.05,2495,0.0001,4.42722225189209
19.88,2712,0,136,34.92267107,9344,0.05,2511,0.0001,2.055255174636841
19.88,2731,0,137,35.003696149999996,9422,0.05,2530,0.0001,1.7237112522125244
19.78,2747,0,138,35.51734756,9490,0.05,2546,0.0001,1.5058995485305786
19.68,2764,0,139,35.938533639999996,9560,0.05,2563,0.0001,1.5167393684387207
19.68,2780,0,140,35.52092363,9629,0.05,2579,0.0001,2.3094964027404785
19.76,2805,0,141,35.62073003,9729,0.05,2604,0.0001,2.54814076423645
19.67,2821,0,142,35.61473516,9798,0.05,2620,0.0001,1.1416594982147217
19.67,2837,0,143,36.07429134,9866,0.05,2636,0.0001,2.0320394039154053
19.61,2856,0,144,36.4708618,9944,0.05,2655,0.0001,1.7031490802764893
19.61,2873,0,145,35.98302376000001,10015,0.05,2672,0.0001,1.0348190069198608
19.61,2890,0,146,36.482485839999995,10087,0.05,2689,0.0001,2.2237699031829834
19.61,2917,0,147,36.4631209,10194,0.05,2716,0.0001,2.3863539695739746
19.6,2933,0,148,36.43297688,10262,0.05,2732,0.0001,1.8183425664901733
19.65,2955,0,149,35.59376502,10352,0.05,2754,0.0001,1.5994209051132202
19.74,2981,0,150,34.752572199999996,10457,0.05,2780,0.0001,2.6183793544769287
19.77,3000,0,151,35.19821536,10534,0.05,2799,0.0001,2.460197925567627
19.68,3016,0,152,35.65121558,10604,0.05,2815,0.0001,2.078439235687256
19.64,3039,0,153,35.54116176,10695,0.05,2838,0.0001,3.7333502769470215
19.56,3056,0,154,35.15791396,10770,0.05,2855,0.0001,1.547533392906189
19.61,3077,0,155,35.14449499,10854,0.05,2876,0.0001,1.075364589691162
19.62,3094,0,156,35.88683489,10926,0.05,2893,0.0001,3.672968864440918
19.62,3110,0,157,35.83429802,10992,0.05,2909,0.0001,2.8082313537597656
19.62,3127,0,158,36.66342815,11064,0.05,2926,0.0001,1.8932520151138306
19.6,3144,0,159,36.357299680000004,11134,0.05,2943,0.0001,2.3241047859191895
19.59,3160,0,160,36.82287231,11202,0.05,2959,0.0001,2.06760311126709
19.59,3176,0,161,37.61276444,11266,0.05,2975,0.0001,2.4711906909942627
19.49,3192,0,162,37.57653161,11335,0.05,2991,0.0001,3.4583559036254883
19.58,3217,0,163,37.809517590000006,11432,0.05,3016,0.0001,2.985586404800415
19.64,3239,0,164,37.48077745,11524,0.05,3038,0.0001,1.3122105598449707
19.68,3259,0,165,37.53952068,11604,0.05,3058,0.0001,1.694103717803955
19.61,3275,0,166,37.92126417,11671,0.05,3074,0.0001,3.1207897663116455
19.65,3295,0,167,37.898023810000005,11751,0.05,3094,0.0001,2.3721137046813965
19.72,3318,0,168,37.35862073,11847,0.05,3117,0.0001,1.6825543642044067
19.72,3335,0,169,37.3705086,11916,0.05,3134,0.0001,1.054869294166565
19.78,3358,0,170,36.49334281,12012,0.05,3157,0.0001,2.8717691898345947
19.69,3376,0,171,36.84980562,12084,0.05,3175,0.0001,1.0519357919692993
19.69,3393,0,172,36.67159916999999,12156,0.05,3192,0.0001,2.8654227256774902
19.7,3410,0,173,36.74901136999999,12226,0.05,3209,0.0001,2.736694097518921
19.72,3429,0,174,36.27004443999999,12306,0.05,3228,0.0001,1.829186201095581
19.67,3445,0,175,36.22320893,12372,0.05,3244,0.0001,3.565207004547119
19.66,3461,0,176,36.23047386,12440,0.05,3260,0.0001,2.0825161933898926
19.72,3482,0,177,35.9526997,12525,0.05,3281,0.0001,2.3324248790740967
19.7,3503,0,178,36.33666185,12610,0.05,3302,0.0001,3.7701644897460938
19.63,3520,0,179,35.88791226,12680,0.05,3319,0.0001,2.0897819995880127
19.63,3537,0,180,34.97927884,12752,0.05,3336,0.0001,1.8666343688964844
19.63,3554,0,181,35.465705039999996,12822,0.05,3353,0.0001,1.8830701112747192
19.49,3567,0,182,35.1360999,12879,0.05,3366,0.0001,5.448788166046143
19.41,3584,0,183,36.00593533999999,12948,0.05,3383,0.0001,3.0023210048675537
19.54,3613,0,184,35.59138785,13070,0.05,3412,0.0001,1.7339632511138916
19.53,3629,0,185,35.55735378,13136,0.05,3428,0.0001,1.7344615459442139
19.65,3656,0,186,34.86240883999999,13250,0.05,3455,0.0001,2.7107176780700684
19.57,3673,0,187,34.35948693,13320,0.05,3472,0.0001,1.3602960109710693
19.52,3689,0,188,33.85128934,13388,0.05,3488,0.0001,1.9637569189071655
19.42,3706,0,189,33.4316898,13459,0.05,3505,0.0001,2.6664469242095947
19.52,3732,0,190,33.570704899999996,13568,0.05,3531,0.0001,1.7200649976730347
19.59,3753,0,191,33.034622559999995,13651,0.05,3552,0.0001,2.0600626468658447
19.49,3769,0,192,32.58594375999999,13719,0.05,3568,0.0001,2.2328603267669678
19.5,3785,0,193,33.50813756999999,13786,0.05,3584,0.0001,3.104003667831421
