time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/loss
46650,45.09421675000001,13480,659,0.1,20.32,0,0.0001,13279,3.1770918369293213
46726,45.02942753,13504,660,0.1,20.36,0,0.0001,13303,3.4051005840301514
46782,45.147281629999995,13521,661,0.1,20.29,0,0.0001,13320,4.607217311859131
46874,44.73488969,13550,662,0.1,20.41,0,0.0001,13349,4.281106948852539
46948,44.35294185,13573,663,0.1,20.48,0,0.0001,13372,2.566580057144165
47027,44.73958302999999,13598,664,0.1,20.54,0,0.0001,13397,3.211186170578003
47082,44.73812425,13615,665,0.1,20.54,0,0.0001,13414,4.804426193237305
47140,44.516388119999995,13633,666,0.1,20.56,0,0.0001,13432,3.9308652877807617
47188,44.56441694999999,13648,667,0.1,20.44,0,0.0001,13447,3.7319512367248535
47235,44.65636755,13662,668,0.1,20.34,0,0.0001,13461,2.781397819519043
47300,44.893742079999996,13682,669,0.1,20.38,0,0.0001,13481,3.430246591567993
47355,44.53983031,13699,670,0.1,20.3,0,0.0001,13498,1.8912290334701538
47406,44.4661629,13715,671,0.1,20.26,0,0.0001,13514,2.8502278327941895
47461,43.59253125,13732,672,0.1,20.23,0,0.0001,13531,3.664088249206543
47525,43.21585904,13752,673,0.1,20.26,0,0.0001,13551,5.2203264236450195
47617,42.920172889999996,13781,674,0.1,20.38,0,0.0001,13580,4.152241230010986
47697,43.040004880000005,13807,675,0.1,20.4,0,0.0001,13606,3.4637057781219482
47773,43.02980993000001,13830,676,0.1,20.37,0,0.0001,13629,4.167696475982666
47858,42.415182730000005,13857,677,0.1,20.47,0,0.0001,13656,2.6599068641662598
47910,41.80312096000001,13873,678,0.1,20.47,0,0.0001,13672,3.6433022022247314
47962,42.23146415000001,13889,679,0.1,20.45,0,0.0001,13688,2.327341318130493
48022,42.48519674000001,13907,680,0.1,20.43,0,0.0001,13706,2.789332389831543
48074,43.36388567000001,13923,681,0.1,20.43,0,0.0001,13722,3.869741916656494
48160,43.06734266,13950,682,0.1,20.46,0,0.0001,13749,2.8640568256378174
48214,43.394029270000004,13967,683,0.1,20.46,0,0.0001,13766,3.3683485984802246
48293,42.876851099999996,13991,684,0.1,20.42,0,0.0001,13790,3.4435133934020996
48383,43.01388694,14020,685,0.1,20.5,0,0.0001,13819,3.9662816524505615
48467,43.402871669999996,14046,686,0.1,20.6,0,0.0001,13845,3.5674023628234863
48549,42.857916,14072,687,0.1,20.57,0,0.0001,13871,3.168102741241455
48637,41.88146547,14100,688,0.1,20.67,0,0.0001,13899,4.602294921875
48715,41.767501460000005,14125,689,0.1,20.72,0,0.0001,13924,4.091346740722656
48770,41.80796695000001,14142,690,0.1,20.68,0,0.0001,13941,3.7895846366882324
48823,41.32441291,14158,691,0.1,20.63,0,0.0001,13957,6.171466827392578
48906,41.4645432,14185,692,0.1,20.73,0,0.0001,13984,2.616615056991577
48969,41.79918255999999,14204,693,0.1,20.76,0,0.0001,14003,3.5123343467712402
49053,41.02195434,14231,694,0.1,20.87,0,0.0001,14030,4.043665885925293
49134,40.91257305,14256,695,0.1,20.94,0,0.0001,14055,5.1046142578125
49222,41.08046273000001,14284,696,0.1,20.97,0,0.0001,14083,3.4908838272094727
49299,41.04593139000001,14309,697,0.1,20.94,0,0.0001,14108,3.677865743637085
49359,41.56601874,14328,698,0.1,20.95,0,0.0001,14127,4.079292297363281
49414,41.57995702,14345,699,0.1,20.96,0,0.0001,14144,2.0931997299194336
49468,41.880489020000006,14362,700,0.1,20.96,0,0.0001,14161,3.295703649520874
49523,41.635765680000006,14379,701,0.1,20.86,0,0.0001,14178,1.9016269445419312
49611,41.19930272,14408,702,0.1,20.99,0,0.0001,14207,2.4094481468200684
49693,41.04667053,14433,703,0.1,20.97,0,0.0001,14232,2.823310136795044
49771,41.87628999999999,14457,704,0.1,21.05,0,0.0001,14256,4.592895984649658
49840,41.2652051,14478,705,0.1,21.1,0,0.0001,14277,3.9257915019989014
49908,40.822767379999995,14499,706,0.1,21.12,0,0.0001,14298,3.798732280731201
49963,40.75653437,14516,707,0.1,21.1,0,0.0001,14315,3.027745008468628
50015,41.331552699999996,14532,708,0.1,21.1,0,0.0001,14331,1.460739016532898
50064,41.701462899999996,14547,709,0.1,21.1,0,0.0001,14346,1.5636465549468994
50116,42.102839200000005,14563,710,0.1,21.0,0,0.0001,14362,3.25164532661438
50203,42.0640558,14590,711,0.1,21.06,0,0.0001,14389,7.540558815002441
50255,41.085555160000006,14606,712,0.1,21.06,0,0.0001,14405,2.3189592361450195
50301,40.42531988,14620,713,0.1,21.04,0,0.0001,14419,2.8304710388183594
50359,40.83522277,14638,714,0.1,20.93,0,0.0001,14437,5.73878288269043
50447,40.22136429,14666,715,0.1,21.04,0,0.0001,14465,2.6948230266571045
50502,40.57640173000001,14683,716,0.1,20.96,0,0.0001,14482,3.87522554397583
50556,40.55556306,14700,717,0.1,20.96,0,0.0001,14499,4.636229991912842
50607,40.99457198,14716,718,0.1,20.86,0,0.0001,14515,2.003570079803467
50702,40.65014492,14747,719,0.1,21.0,0,0.0001,14546,4.049188137054443
50764,40.51595054,14766,720,0.1,21.02,0,0.0001,14565,3.664050579071045
50818,40.57201902,14783,721,0.1,20.94,0,0.0001,14582,2.923131227493286
50908,39.86416242999999,14812,722,0.1,21.07,0,0.0001,14611,3.41776704788208
50989,40.06342613,14837,723,0.1,21.03,0,0.0001,14636,3.9781181812286377
51079,40.09962262,14866,724,0.1,21.15,0,0.0001,14665,3.0735583305358887
51163,40.02462391,14892,725,0.1,21.23,0,0.0001,14691,2.704883098602295
51215,41.03250837,14908,726,0.1,21.23,0,0.0001,14707,3.4455339908599854
51276,40.66301451,14927,727,0.1,21.22,0,0.0001,14726,3.1816203594207764
51329,40.36600924,14943,728,0.1,21.1,0,0.0001,14742,2.626558780670166
51416,40.61585262999999,14970,729,0.1,21.2,0,0.0001,14769,3.1675009727478027
51468,40.68301605,14986,730,0.1,21.08,0,0.0001,14785,5.638317108154297
51531,40.463826489999995,15005,731,0.1,21.07,0,0.0001,14804,4.546950340270996
51585,40.569916299999996,15022,732,0.1,20.99,0,0.0001,14821,3.1793694496154785
51638,40.40032437,15038,733,0.1,20.86,0,0.0001,14837,2.832134246826172
51709,40.82578837,15059,734,0.1,20.81,0,0.0001,14858,3.357365608215332
51785,40.826223219999996,15082,735,0.1,20.83,0,0.0001,14881,4.168431282043457
51838,40.006722579999995,15098,736,0.1,20.82,0,0.0001,14897,5.594747543334961
51915,40.4933255,15123,737,0.1,20.83,0,0.0001,14922,4.315007209777832
51966,39.6455754,15138,738,0.1,20.83,0,0.0001,14937,3.224597692489624
52019,39.59809917,15154,739,0.1,20.74,0,0.0001,14953,3.889946222305298
52073,38.76026401,15171,740,0.1,20.77,0,0.0001,14970,3.8585145473480225
52137,38.28036354,15191,741,0.1,20.71,0,0.0001,14990,3.7328336238861084
52190,38.29342339,15207,742,0.1,20.7,0,0.0001,15006,2.243283748626709
52270,38.450730289999996,15232,743,0.1,20.79,0,0.0001,15031,4.589927673339844
52331,39.020562170000005,15251,744,0.1,20.8,0,0.0001,15050,3.8731980323791504
52412,39.03431937,15277,745,0.1,20.83,0,0.0001,15076,3.2381324768066406
52512,39.02876088,15308,746,0.1,20.98,0,0.0001,15107,4.4300537109375
52584,39.2374297,15331,747,0.1,21.04,0,0.0001,15130,2.316077709197998
52672,38.96874133,15359,748,0.1,21.07,0,0.0001,15158,2.8124701976776123
52747,39.372258529999996,15381,749,0.1,21.02,0,0.0001,15180,3.805795907974243
52799,38.86734498,15397,750,0.1,20.91,0,0.0001,15196,2.7716116905212402
52890,38.536214789999995,15426,751,0.1,20.94,0,0.0001,15225,3.2704436779022217
52946,38.99052692,15443,752,0.1,20.95,0,0.0001,15242,4.03123140335083
53032,39.46555513,15470,753,0.1,21.05,0,0.0001,15269,3.2816519737243652
53097,39.29687433,15490,754,0.1,20.98,0,0.0001,15289,4.65798807144165
53180,39.56606684,15516,755,0.1,21.07,0,0.0001,15315,2.0835940837860107
53261,39.21672093,15542,756,0.1,21.14,0,0.0001,15341,5.110706329345703
53316,38.30659665,15559,757,0.1,21.15,0,0.0001,15358,3.172104597091675
53368,38.20063338,15575,758,0.1,21.14,0,0.0001,15374,4.835541725158691
53421,38.45053925,15591,759,0.1,21.11,0,0.0001,15390,4.3388991355896
53482,38.480593309999996,15610,760,0.1,21.06,0,0.0001,15409,2.833702564239502
53534,38.03420007,15626,761,0.1,21.05,0,0.0001,15425,2.4330482482910156
53611,37.9120827,15650,762,0.1,21.0,0,0.0001,15449,2.8760969638824463
53660,38.02816396000001,15665,763,0.1,20.92,0,0.0001,15464,3.7668416500091553
53753,38.06669497,15694,764,0.1,20.96,0,0.0001,15493,1.9523916244506836
53809,37.17684972000001,15711,765,0.1,20.96,0,0.0001,15510,2.6381897926330566
53861,36.76370876,15727,766,0.1,20.94,0,0.0001,15526,3.067967176437378
53918,37.066709210000006,15744,767,0.1,20.96,0,0.0001,15543,4.526983261108398
54003,36.63973499,15771,768,0.1,21.09,0,0.0001,15570,5.127513885498047
54055,36.262557910000005,15787,769,0.1,21.05,0,0.0001,15586,3.9615914821624756
54137,36.774555740000004,15812,770,0.1,21.13,0,0.0001,15611,2.842235565185547
54225,37.21442616,15840,771,0.1,21.25,0,0.0001,15639,3.115103244781494
54281,37.54146376,15857,772,0.1,21.25,0,0.0001,15656,4.490514755249023
54336,38.37610224,15874,773,0.1,21.22,0,0.0001,15673,3.5096828937530518
54428,38.393315539999996,15903,774,0.1,21.22,0,0.0001,15702,4.202643394470215
54477,37.844874090000005,15918,775,0.1,21.11,0,0.0001,15717,5.075865268707275
54565,37.63554253000001,15945,776,0.1,21.15,0,0.0001,15744,2.820082187652588
54614,37.64062519000001,15960,777,0.1,21.03,0,0.0001,15759,3.46950101852417
54680,37.74097356,15980,778,0.1,21.07,0,0.0001,15779,3.0951592922210693
54761,36.92309067,16006,779,0.1,21.17,0,0.0001,15805,3.8307383060455322
54850,37.10620612,16034,780,0.1,21.27,0,0.0001,15833,3.4402079582214355
54924,36.952649900000004,16057,781,0.1,21.34,0,0.0001,15856,5.15826416015625
54982,37.56085126000001,16074,782,0.1,21.24,0,0.0001,15873,2.0711517333984375
55033,38.04213560000001,16090,783,0.1,21.23,0,0.0001,15889,2.879284620285034
55116,38.506882600000004,16116,784,0.1,21.25,0,0.0001,15915,5.18229866027832
55198,38.39238127000001,16141,785,0.1,21.21,0,0.0001,15940,4.183574676513672
55256,38.420246389999996,16159,786,0.1,21.13,0,0.0001,15958,6.411070346832275
55312,39.332424530000004,16176,787,0.1,21.04,0,0.0001,15975,3.7302305698394775
55365,40.26289027,16192,788,0.1,20.92,0,0.0001,15991,1.8187336921691895
55421,40.06804282,16209,789,0.1,20.84,0,0.0001,16008,2.693389892578125
55473,39.33633797,16225,790,0.1,20.83,0,0.0001,16024,3.727666139602661
55529,39.35922093,16242,791,0.1,20.84,0,0.0001,16041,3.5930259227752686
55609,39.1336746,16266,792,0.1,20.81,0,0.0001,16065,2.1245527267456055
55671,39.52362163,16284,793,0.1,20.8,0,0.0001,16083,2.6955018043518066
55748,39.67807405,16308,794,0.1,20.77,0,0.0001,16107,2.7480268478393555
55831,39.754306389999996,16333,795,0.1,20.77,0,0.0001,16132,3.6931185722351074
55903,39.871679040000004,16355,796,0.1,20.71,0,0.0001,16154,2.9456024169921875
55985,40.23938377,16380,797,0.1,20.71,0,0.0001,16179,3.3063013553619385
56058,39.60752098000001,16402,798,0.1,20.74,0,0.0001,16201,3.502427101135254
56113,39.55378288,16419,799,0.1,20.74,0,0.0001,16218,1.638169527053833
56202,39.596772570000006,16447,800,0.1,20.85,0,0.0001,16246,2.6056902408599854
56288,39.74497537,16474,801,0.1,20.95,0,0.0001,16273,4.115429401397705
56362,39.49917958,16496,802,0.1,20.88,0,0.0001,16295,2.205085515975952
56443,39.412501580000004,16521,803,0.1,20.88,0,0.0001,16320,2.267937183380127
56495,40.048061770000004,16537,804,0.1,20.8,0,0.0001,16336,2.944775104522705
56546,40.582514970000005,16552,805,0.1,20.74,0,0.0001,16351,2.4384379386901855
56633,40.464408829999996,16579,806,0.1,20.8,0,0.0001,16378,2.5877065658569336
56707,40.16292954,16602,807,0.1,20.86,0,0.0001,16401,2.0455386638641357
56760,39.681928039999995,16618,808,0.1,20.86,0,0.0001,16417,3.2385811805725098
56821,38.80429959999999,16637,809,0.1,20.9,0,0.0001,16436,3.8191847801208496
56880,38.75708914,16655,810,0.1,20.92,0,0.0001,16454,3.0707345008850098
56949,38.28049581,16676,811,0.1,20.86,0,0.0001,16475,3.481426477432251
57003,38.34333301,16692,812,0.1,20.86,0,0.0001,16491,3.703035354614258
57050,38.27431066,16706,813,0.1,20.86,0,0.0001,16505,2.8876280784606934
57103,37.42902807,16722,814,0.1,20.84,0,0.0001,16521,3.6648449897766113
57158,37.298661239999994,16739,815,0.1,20.73,0,0.0001,16538,3.455037832260132
57210,37.427906279999995,16755,816,0.1,20.72,0,0.0001,16554,1.8372013568878174
57265,36.95389745000001,16772,817,0.1,20.72,0,0.0001,16571,3.545473098754883
57319,36.00354088,16788,818,0.1,20.72,0,0.0001,16587,5.631168842315674
57379,36.795770770000004,16806,819,0.1,20.59,0,0.0001,16605,4.348840713500977
57447,36.432899590000005,16827,820,0.1,20.61,0,0.0001,16626,5.158171653747559
57522,36.16159183,16849,821,0.1,20.66,0,0.0001,16648,1.7949565649032593
57577,36.476413619999995,16865,822,0.1,20.53,0,0.0001,16664,2.8660671710968018
57670,36.315297720000004,16893,823,0.1,20.56,0,0.0001,16692,3.670720100402832
57760,36.65475802,16919,824,0.1,20.53,0,0.0001,16718,3.5636000633239746
57826,36.573264,16938,825,0.1,20.46,0,0.0001,16737,3.565049171447754
57884,36.48631593,16954,826,0.1,20.46,0,0.0001,16753,3.6958799362182617
57943,36.812331930000006,16971,827,0.1,20.44,0,0.0001,16770,2.295382022857666
58033,36.951018600000005,16999,828,0.1,20.56,0,0.0001,16798,2.324739933013916
58124,37.121655940000004,17027,829,0.1,20.57,0,0.0001,16826,3.903031349182129
58176,36.72131013,17043,830,0.1,20.57,0,0.0001,16842,5.481693267822266
58228,36.56267351,17059,831,0.1,20.54,0,0.0001,16858,3.1132652759552
58305,36.85517389,17083,832,0.1,20.61,0,0.0001,16882,3.0389926433563232
58358,37.142601140000004,17099,833,0.1,20.61,0,0.0001,16898,3.4447968006134033
58420,36.98212239,17118,834,0.1,20.59,0,0.0001,16917,2.9103281497955322
58475,36.81088066,17135,835,0.1,20.53,0,0.0001,16934,3.7876546382904053
58528,37.65000191,17151,836,0.1,20.53,0,0.0001,16950,3.2487127780914307
58613,37.70899677,17177,837,0.1,20.54,0,0.0001,16976,3.249161958694458
58669,38.52296406,17194,838,0.1,20.56,0,0.0001,16993,2.9402718544006348
58724,38.09423248,17210,839,0.1,20.56,0,0.0001,17009,3.235018253326416
58795,38.567916309999994,17231,840,0.1,20.6,0,0.0001,17030,5.911670684814453
