time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
0,1895,81.54679644827587,87,4680,21.7816091954023,0.05,0.0001,1594,15.638431549072266
0,1920,81.98389802272727,88,4733,21.818181818181817,0.05,0.0001,1619,15.41946792602539
0,1938,82.97316952808988,89,4765,21.775280898876403,0.05,0.0001,1637,11.765277862548828
0,1956,85.07414391111111,90,4812,21.733333333333334,0.05,0.0001,1655,17.92414093017578
0,1981,85.36657820879121,91,4864,21.76923076923077,0.05,0.0001,1680,20.90727996826172
0,2008,84.8944732826087,92,4939,21.82608695652174,0.05,0.0001,1707,17.265047073364258
0,2030,84.84913896774194,93,5011,21.827956989247312,0.05,0.0001,1729,17.843175888061523
0,2056,85.60690535106383,94,5093,21.872340425531913,0.05,0.0001,1755,24.98268699645996
0,2074,87.64065530526315,95,5141,21.83157894736842,0.05,0.0001,1773,19.077728271484375
0,2091,88.0491970625,96,5180,21.78125,0.05,0.0001,1790,20.0113582611084
0,2110,88.26794877319587,97,5233,21.75257731958763,0.05,0.0001,1809,14.358469009399414
0,2128,89.9410592142857,98,5280,21.714285714285715,0.05,0.0001,1827,20.56935691833496
0,2153,90.14889375757575,99,5359,21.747474747474747,0.05,0.0001,1852,17.74976348876953
0,2171,89.96968369999999,100,5405,21.71,0.05,0.0001,1870,19.96308135986328
0,2196,90.5316296,101,5474,21.72,0.05,0.0001,1895,20.493553161621094
0,2213,92.62691025,102,5508,21.69,0.05,0.0001,1912,18.0030460357666
0,2232,95.15418534,103,5562,21.68,0.05,0.0001,1931,18.437625885009766
0,2262,95.98125921,104,5646,21.81,0.05,0.0001,1961,16.186790466308594
0,2292,96.07643289000004,105,5746,21.88,0.05,0.0001,1991,21.457157135009766
0,2313,95.41267121000003,106,5804,21.89,0.05,0.0001,2012,15.542631149291992
0,2331,96.29358847000002,107,5848,21.79,0.05,0.0001,2030,15.535207748413086
0,2359,97.4149242,108,5900,21.87,0.05,0.0001,2058,23.409561157226562
0,2381,98.05261177,109,5946,21.85,0.05,0.0001,2080,22.83694076538086
0,2409,97.26865686999997,110,6018,21.97,0.05,0.0001,2108,20.48682403564453
0,2428,98.01711369,111,6064,22.0,0.05,0.0001,2127,14.809541702270508
0,2455,97.21591896000001,112,6135,21.98,0.05,0.0001,2154,19.014217376708984
0,2475,97.83683713,113,6178,21.87,0.05,0.0001,2174,20.125089645385742
0,2496,97.30427903000002,114,6225,21.8,0.05,0.0001,2195,18.269001007080078
0,2512,97.62135368999999,115,6258,21.75,0.05,0.0001,2211,14.111105918884277
0,2528,97.5309656,116,6291,21.75,0.05,0.0001,2227,14.332450866699219
0,2552,96.95611914,117,6345,21.67,0.05,0.0001,2251,17.61927032470703
0,2570,98.22384948000001,118,6393,21.68,0.05,0.0001,2269,18.71862030029297
0,2589,100.42343885999999,119,6441,21.71,0.05,0.0001,2288,16.079397201538086
0,2615,101.19225195000001,120,6522,21.76,0.05,0.0001,2314,21.003816604614258
0,2632,101.28630547,121,6563,21.66,0.05,0.0001,2331,15.754656791687012
0,2662,102.26533344,122,6646,21.8,0.05,0.0001,2361,16.26686668395996
0,2686,101.47405268000003,123,6715,21.84,0.05,0.0001,2385,17.374221801757812
0,2715,98.98766642000002,124,6796,21.94,0.05,0.0001,2414,17.063865661621094
0,2734,98.50047617,125,6843,21.89,0.05,0.0001,2433,16.061279296875
0,2754,97.15927591999998,126,6883,21.91,0.05,0.0001,2453,16.406654357910156
0,2784,97.65636682,127,6967,22.02,0.05,0.0001,2483,17.10851287841797
0,2810,97.97791686000001,128,7024,22.09,0.05,0.0001,2509,21.215959548950195
0,2832,95.31876173999999,129,7070,22.09,0.05,0.0001,2531,16.30196762084961
0,2848,97.32881655000001,130,7107,22.09,0.05,0.0001,2547,21.493396759033203
0,2866,99.49596587999999,131,7145,22.05,0.05,0.0001,2565,15.108870506286621
0,2886,100.5164878,132,7192,21.96,0.05,0.0001,2585,22.940025329589844
0,2902,101.12494032999999,133,7233,21.94,0.05,0.0001,2601,14.003748893737793
0,2918,101.94312837000001,134,7270,21.91,0.05,0.0001,2617,23.809019088745117
0,2935,102.79909173000001,135,8361,21.88,0.05,0.0001,2634,13.89617919921875
0,2955,101.76582304,136,8619,21.83,0.05,0.0001,2654,18.120136260986328
0,2982,103.4757088,137,9640,21.88,0.05,0.0001,2681,16.4019832611084
0,3000,102.42511250000001,138,10216,21.9,0.05,0.0001,2699,23.14885711669922
0,3020,102.54033432000001,139,10257,21.91,0.05,0.0001,2719,20.541706085205078
0,3037,104.12338508,140,10692,21.85,0.05,0.0001,2736,21.467126846313477
0,3059,102.19674275000001,141,11054,21.89,0.05,0.0001,2758,19.01551628112793
0,3077,101.96924545,142,11226,21.83,0.05,0.0001,2776,16.57110595703125
0,3100,101.54250488999998,143,11276,21.76,0.05,0.0001,2799,15.30558967590332
0,3119,102.30245519,144,11369,21.73,0.05,0.0001,2818,23.205812454223633
0,3138,101.00286211000001,145,11404,21.74,0.05,0.0001,2837,13.309864044189453
0,3155,101.26764682999999,146,11443,21.71,0.05,0.0001,2854,17.368915557861328
0,3178,98.8564733,147,11488,21.78,0.05,0.0001,2877,17.19872283935547
0,3204,101.43887384999998,148,11567,21.88,0.05,0.0001,2903,18.89970588684082
0,3233,101.16890969999999,149,11622,21.9,0.05,0.0001,2932,14.000127792358398
0,3258,100.74578412000001,150,11675,21.88,0.05,0.0001,2957,18.549352645874023
0,3286,100.77476091,151,11730,21.9,0.05,0.0001,2985,21.75618553161621
0,3303,101.75479429,152,11771,21.83,0.05,0.0001,3002,20.08405876159668
0,3321,103.59587535,153,11820,21.76,0.05,0.0001,3020,18.862205505371094
0,3337,104.972927,154,11859,21.72,0.05,0.0001,3036,17.876266479492188
0,3363,105.62870088,155,11937,21.73,0.05,0.0001,3062,12.8857421875
0,3391,104.98634242,156,11991,21.85,0.05,0.0001,3090,20.367538452148438
0,3417,104.79975409999999,157,12045,21.86,0.05,0.0001,3116,16.160736083984375
0,3432,105.88655412999998,158,12086,21.85,0.05,0.0001,3131,20.66919708251953
0,3457,104.67145670999999,159,12136,21.91,0.05,0.0001,3156,16.692211151123047
0,3476,105.25948707000002,160,12184,21.83,0.05,0.0001,3175,16.65096664428711
0,3493,106.89292189,161,12220,21.73,0.05,0.0001,3192,15.76858901977539
0,3519,107.41897207,162,12268,21.75,0.05,0.0001,3218,15.246674537658691
